product_id,brand,product_name,price,capacity_L,size_cm,powerconsumptiongrade,door_count,image,numberofusers
271,삼성전자,삼성전자  RS84T5081SA,1359520,846,91.2 * 178 * 91.5,2,20,https://photo3.enuri.info/data/images/service/middle/50598000/50598111.jpg,4
272,캐리어,캐리어 클라윈드 KRDT211SEM1,283910,211,54 * 142.8 * 55.1,3,20,https://photo3.enuri.info/data/images/service/dnw/master/106045000/106045427.jpg,2
273,삼성전자,삼성전자  RS84T5071WW,1125000,846,91.2 * 178 * 91.5,2,20,https://photo3.enuri.info/data/images/service/middle/54023000/54023771.jpg,4
274,LG전자,LG전자  M341S53,702290,339,59.5 * 186 * 67.7,3,20,https://image.enuri.info/webimage_300/6525000000/6525010000/6525019899,2
275,캐리어,캐리어 클라윈드 CSBH-D200WO,288100,200,84.5 * 54.5,-1,10,https://photo3.enuri.info/data/images/service/middle/35529000/35529196.jpg,2
276,삼성전자,삼성전자  RS84B5061B4,1245600,846,91.2 * 178 * 91.5,2,20,https://image.enuri.info/webimage_300/16347000000/16347000000/16347004220,4
277,더함,더함  R157D1-MS1BM,282000,157,47.7 * 144 * 49.5,3,20,https://photo3.enuri.info/data/images/service/middle/101685000/101685889.jpg,1
278,캐리어,캐리어 클라윈드 CRF-TD155MDE,247460,155,50 * 123 * 58,3,20,https://photo3.enuri.info/data/images/service/middle/37726000/37726346.jpg,1
279,삼성전자,삼성전자  RT32K5030WW,725000,317,60 * 171.5 * 67.2,2,20,https://photo3.enuri.info/data/images/service/middle/13155000/13155970.jpg,2
280,삼성전자,삼성전자  RS84T5071SL,1229510,846,91.2 * 178 * 91.5,2,20,https://photo3.enuri.info/data/images/service/middle/48387000/48387889.jpg,4
281,캐리어,캐리어 클라윈드 CRF-TD168SDS,245100,168,47 * 148 * 49.8,3,20,https://photo3.enuri.info/data/images/service/middle/38998000/38998618.jpg,1
282,LG전자,LG전자  B180DSM,999990,189,55.5 * 140 * 58.5,3,20,https://photo3.enuri.info/data/images/service/middle/35466000/35466365.jpg,1
283,캐리어,캐리어 클라윈드 KRDT168BEM1,250800,168,47.4 * 148.2 * 49.8,3,20,https://image.enuri.info/webimage_300/15076600000/15076660000/15076663353.jpg,1
284,삼성전자,삼성전자  RH62A504EB4,1049600,644,91.2 * 178 * 74,1,20,https://image.enuri.info/webimage_300/10839500000/10839590000/10839598128,4
285,위니아,위니아  WWRC121EEMWWO(A),192640,121,47.2 * 49.2 * 45,3,10,https://image.enuri.info/webimage_300/13303500000/13303540000/13303541891.jpg,1
286,LG전자,LG전자  B052S15,2502000,46,44.3* 50.1 * 45,4,10,https://photo3.enuri.info/data/images/service/middle/30648000/30648373.jpg,1
287,삼성전자,삼성전자  RR09FARAEWW,206080,82,43.9 * 74 * 51.2,4,10,https://photo3.enuri.info/data/images/service/middle/10130000/10130324.jpg,1
288,캐리어,캐리어 클라윈드 CSBH-D145WO,222300,145,84.5 * 54.5,-1,10,https://photo3.enuri.info/data/images/service/middle/35177000/35177207.jpg,1
289,캐리어,캐리어 클라윈드 피트인 KRNF436WPS1,869400,436,83.6 * 183 * 63.6,4,40,https://photo3.enuri.info/data/images/service/dnw/master/99647000/99647608.jpg,2
290,LG전자,LG전자  M349SN,999000,339,59.5 * 186 * 67.5,3,20,https://photo3.enuri.info/data/images/service/middle/65253000/65253989.jpg,2
291,삼성전자,삼성전자  RT25FARADWW,433320,255,55.5 * 163.5 * 63.7,2,20,https://photo3.enuri.info/data/images/service/middle/10114000/10114649.jpg,2
292,캐리어,캐리어 클라윈드 피트인 KRNF427SPH1,699000,427,79.5 * 180 * 70,4,40,https://photo3.enuri.info/data/images/service/dnw/master/101855000/101855142.jpg,2
293,삼성전자,삼성전자  RR05FARAEWW,448910,42,43.9 * 51 * 47,5,10,https://photo3.enuri.info/data/images/service/middle/9167000/9167529.jpg,1
294,LG전자,LG전자  B186W,842590,189,55.5 * 140 * 58.5,2,20,https://photo3.enuri.info/data/images/service/middle/42666000/42666743.jpg,1
295,위니아,위니아 프라우드 ERR09DS(A),176690,93,47.2 * 86 * 45,3,10,https://image.enuri.info/webimage_300/13271900000/13271950000/13271950691,1
296,LG전자,LG전자  R-A101GD,380000,96,46.3 * 83 * 50,3,10,https://photo3.enuri.info/data/images/service/middle/14450000/14450311.jpg,1
297,LG전자,LG전자  R-A051GD,233700,46,44.3 * 50.1 * 45,2,10,https://photo3.enuri.info/data/images/service/middle/7698000/7698960.jpg,1
298,캐리어,캐리어 클라윈드 CRF-TN255WDE,325940,255,54.5 * 170 * 59,2,20,https://photo3.enuri.info/data/images/service/middle/41235000/41235671.jpg,2
299,위니아,위니아  WWRW486EEGDDO,1010500,479,83 * 180.8 * 74,3,40,https://image.enuri.info/webimage_300/16487000000/16487070000/16487075238.jpg,2
300,LG전자,LG전자  B102W14,199000,96,46.3 * 82 * 50,4,10,https://photo3.enuri.info/data/images/service/middle/7771000/7771479.jpg,1
301,삼성전자,삼성전자  RT19T3007GS,475630,203,55.5 * 145.5 * 63.7,2,20,https://photo3.enuri.info/data/images/service/middle/10114000/10114676.jpg,2
